"age in months (area with „-“)","ATC Codes/[B,E] (comma separated) → Base and Extended","Recommended Article Combinations ATC (comma separated)"
"2M","J07AF/B,J07AM/B,J07AJ/B,J07BF/B,J07AG/B,J07AL/E",
"4M","J07AF/B,J07AM/B,J07AJ/B,J07BF/B,J07AG/B,J07AL/E",
"6M","J07AF/B,J07AM/B,J07AJ/B,J07BF/B,J07AG/B",
"12M","J07BD/B,J07BE/B,J07BJ/B,J07AL/E",
"12M-15M","J07AH/E",
"15M-24M","J07AF/B,J07AM/B,J07AJ/B,J07BF/B,J07AG/B,J07BD/B,J07BE/B,J07BJ/B","J07CA06,J07BD52"
"4Y-7Y","J07AF/B,J07AM/B,J07AJ/B,J07BF/B",
"11Y-15Y","J07AF/B,J07AM/B,J07AJ/B,J07BC01/B,J07BM/B",
"25Y-29Y","J07AF/B,J07AM/B,J07AJ/B",
"45Y","J07AF/B,J07AM/B",
">=65Y","J07AF/B,J07AM/B, J07AL,J07BB ",
